link,topic,Facebook,Twitter,Otros
https://www.meneame.net/story/japoneses-rien-leer-quijote,JAPON,0,0,381
http://www.elmundo.es/elmundo/2011/03/19/internacional/1300552221.html,TERREMOTO,27,17,12
http://economia.elpais.com/economia/2012/10/03/agencias/1349221993_040432.html,MOTOR,1,47,3
http://economia.elpais.com/economia/2013/03/07/agencias/1362657745_674831.html,VENEZUELA,878,104,7
http://www.abc.es/internacional/20130824/abci-obama-siria-preparacin-201308240820.html,SIRIA,338,220,14
https://www.meneame.net/story/paco-lucia-no-quiero-vivir-rentas,PACO,0,0,501
http://www.elmundo.es/america/2013/08/25/estados_unidos/1377420223.html,TOMATINA,236,63,7
http://www.eldiario.es/sociedad/Washington-DC-capital-EEUU-sintecho_0_148735404.html,POBREZA,194,75,0
http://www.excelsior.com.mx/global/2013/12/06/932317,MANDELA,53,64,34
http://www.elmundo.es/elmundo/2013/02/21/navegante/1361437892.html,TECNOLOGIA,82,44,4
http://www.20minutos.es/noticia/2127794/0/abusos-sexuales/hombres-ejercito/eeuu-sombra/,PENTAGONO,37,69,12
http://www.lavanguardia.com/internacional/20130626/54376982776/ee-uu-pide-rusia-detener-entregar-sin-demora-snowden.html,SNOWDEN,23,39,1
http://www.lavanguardia.com/internacional/20131115/54393501774/victimas-yemenies-drones-acusan-obama-muertes.html,DRONES,20,35,0
http://www.rtve.es/noticias/20130622/triangulo-amoroso-entre-espionaje-estadounidense-empresas-privadas-hackers/694683.shtml,CIBER,42,8,3
http://www.abc.es/internacional/20140518/abci-pentagono-apocalipsis-zombi-201405180939.html,ZOMBIES,1305,814,10
http://www.antena3.com/noticias/mundo/pentagono-tiene-plan-produce-apocalipsis-zombi_2014051800017.html,PENTAGONO,450,887,1
http://www.20minutos.es/noticia/2079255/0/pentagono/proyecto-experimento/lenguaje-corporal-jefes-estado/,RUSIA,56,589,15
http://www.eleconomista.es/internacional/noticias/5751130/05/14/Las-sanciones-ponen-en-evidencia-los-intereses-comunes-de-Rusia-y-EEUU.html#.Kku8QVHvk2DbGp2,RUSIA,1,636,0
http://www.abc.es/internacional/20140406/abci-fantasmas-guerra-siguen-vivos-201404061046.html,PENTAGONO,47,281,0
http://www.elmundo.es/tecnologia/2014/05/22/537d8c6fca47414f0d8b456c.html,TECNOLOGIA,132,146,7
http://www.elmundo.es/tecnologia/2014/05/22/537d8c6fca47414f0d8b456c.html,PENTAGONO,132,1,59
http://elcomercio.pe/mundo/eeuu/senado-eeuu-desclasifica-informe-sobre-torturas-cia-noticia-1720416,CIA,67,29,1
http://economia.elpais.com/economia/2014/01/19/agencias/1390121361_990390.html,PENTAGONO,16,72,1
http://www.elespectador.com/noticias/elmundo/estado-islamico-contrata-profesionales-su-califato-del-articulo-516611,YIHADISTAS,8,46,14
http://www.primerahora.com/noticias/estados-unidos/nota/elpentagonoaunpasodedarlabienvenidaalasmujeresenelinfierno-1103913/,PENTAGONO,2321,4,0
